model,window,stride,n_windows,target,seed,MAPE,MAE,base_MAPE
XGBoost,48,12,213,Poly_ER,0,69.46190864880694,1511.8017578125,62.85043766630266
XGBoost,48,12,213,Remain_PR,0,6.723153350973282,0.1397546927134196,6.223858247338763
LSTM,48,12,213,Poly_ER,0,21.9589282437143,720.2652791341146,62.85043766630266
LSTM,48,12,213,Poly_ER,1,21.280629495345753,710.2497762044271,62.85043766630266
LSTM,48,12,213,Poly_ER,2,21.000714107278952,704.5095621744791,62.85043766630266
LSTM,48,12,213,Poly_ER,3,20.609671670870608,698.2224731445312,62.85043766630266
LSTM,48,12,213,Poly_ER,4,20.690574849513908,699.6816609700521,62.85043766630266
LSTM,48,12,213,Remain_PR,0,3.6870954648099983,0.07392795880635579,6.223858247338763
LSTM,48,12,213,Remain_PR,1,3.675101455558326,0.07368854681650798,6.223858247338763
LSTM,48,12,213,Remain_PR,2,3.566943831761995,0.07132712999979655,6.223858247338763
LSTM,48,12,213,Remain_PR,3,3.5164299742061997,0.07022603352864583,6.223858247338763
LSTM,48,12,213,Remain_PR,4,3.528225045389525,0.07047800223032634,6.223858247338763
PatchTST,48,12,213,Poly_ER,0,40.946065999509756,1040.1527303059895,62.85043766630266
PatchTST,48,12,213,Poly_ER,1,41.04675372540463,1041.1747639973958,62.85043766630266
PatchTST,48,12,213,Poly_ER,2,47.525006583580925,1148.108174641927,62.85043766630266
PatchTST,48,12,213,Poly_ER,3,40.029132089504785,1026.734842936198,62.85043766630266
PatchTST,48,12,213,Poly_ER,4,43.034928882785124,1073.5370686848958,62.85043766630266
PatchTST,48,12,213,Remain_PR,0,4.903632528728887,0.10029808680216472,6.223858247338763
PatchTST,48,12,213,Remain_PR,1,4.777900430319062,0.09758607546488444,6.223858247338763
PatchTST,48,12,213,Remain_PR,2,4.981354928619104,0.10201072692871094,6.223858247338763
PatchTST,48,12,213,Remain_PR,3,4.869102595143627,0.09956618150075276,6.223858247338763
PatchTST,48,12,213,Remain_PR,4,4.9985168894845975,0.10237467288970947,6.223858247338763
XGBoost,64,16,154,Poly_ER,0,58.281343419136014,1332.2314860026042,62.535572453929035
XGBoost,64,16,154,Remain_PR,0,5.958928908853428,0.12323298056920369,6.20271429681628
